year,month,day,hour,doy,TA,VPD,SW,PAR_up,PAR_down
2019,1,1,0,1,0.855256159,1.088143682,0,0,0
2019,1,1,1,1,1.48023107,1.088453014,0,0,0
2019,1,1,2,1,2.186483203,1.088251716,0,0,0
2019,1,1,3,1,3.096463657,1.08766444,0,0,0
2019,1,1,4,1,4.044544282,1.087528264,0,0,0
2019,1,1,5,1,5.194103291,1.087841248,0,0,0
2019,1,1,6,1,6.452758924,1.153494822,0,0,0
2019,1,1,7,1,7.856114648,1.360598272,1.862499825,3.707944183,0.556180109
2019,1,1,8,1,8.297048201,1.470486928,9.787264407,19.48490392,2.922675059
2019,1,1,9,1,8.157882234,1.733926845,28.36267222,56.46561899,8.469667442
2019,1,1,10,1,7.116356573,2.175058452,79.1726619,157.6203161,23.64255778
2019,1,1,11,1,5.911946236,2.704559043,150.4244148,299.4713484,44.91977197
2019,1,1,12,1,5.070334888,3.086179758,228.1436647,454.1981499,68.12831155
2019,1,1,13,1,4.626792131,3.206861612,233.0466034,463.9591297,69.59242819
2019,1,1,14,1,4.415936585,3.216083462,113.5590831,237.7561501,42.19940788
2019,1,1,15,1,3.38602714,3.069258975,57.62,123.705,26.37
2019,1,1,16,1,2.409114638,2.908241984,1.545,12.4,3.675
2019,1,1,17,1,1.448822652,2.720834917,-2.72,-0.285,-0.135
2019,1,1,18,1,0.808254214,2.588401493,-3.68,-0.29,-0.135
2019,1,1,19,1,-0.021508667,2.503693342,-4.005,-0.28,-0.14
2019,1,1,20,1,-0.795767012,2.472008913,-4.37,-0.285,-0.135
2019,1,1,21,1,-1.480194739,2.486659249,-4.22,-0.285,-0.135
2019,1,1,22,1,-2.214396916,2.463265691,-4.3,-0.29,-0.135
2019,1,1,23,1,-2.852918636,2.45831093,-4.875,-0.28,-0.14
2019,1,2,0,2,-3.387507703,2.470350103,-4.725,-0.285,-0.135
2019,1,2,1,2,-3.626160879,2.504488301,-4.91,-0.28,-0.13
2019,1,2,2,2,-3.346740265,2.571903523,-4.68,-0.28,-0.135
2019,1,2,3,2,-3.26908109,2.607628802,-4.46,-0.285,-0.14
2019,1,2,4,2,-3.244756349,2.649451614,-3.865,-0.28,-0.145
2019,1,2,5,2,-3.18827563,2.712404141,-3.94,-0.29,-0.15
2019,1,2,6,2,-3.141026917,2.779575784,-2.8,-0.23,-0.13
2019,1,2,7,2,-3.303857159,2.754638416,14.195,43.98,8.125
2019,1,2,8,2,-3.244437003,2.801203217,148.315,219.87,34.5
2019,1,2,9,2,-2.592259607,3.068532129,282.105,498.135,111.165
2019,1,2,10,2,-1.866988235,3.280790968,372.715,668.14,178.7
