year,month,day,hour,doy,wind_u
2019,1,1,0,1,2.1458859975255686
2019,1,1,1,1,2.1612273542025537
2019,1,1,2,1,2.17858271221988
2019,1,1,3,1,2.2030067227914487
2019,1,1,4,1,2.2051130500125176
2019,1,1,5,1,2.191408379402982
2019,1,1,6,1,2.1801320320613513
2019,1,1,7,1,2.1750457153594325
2019,1,1,8,1,2.1737897781720097
2019,1,1,9,1,2.1784755073749027
2019,1,1,10,1,2.209918192441311
2019,1,1,11,1,2.2325395592672623
2019,1,1,12,1,2.2309921469853107
2019,1,1,13,1,2.199045866205841
2019,1,1,14,1,2.206003498796067
2019,1,1,15,1,2.2310035923424256
2019,1,1,16,1,2.238771746972348
2019,1,1,17,1,2.260809209829481
2019,1,1,18,1,2.295684953607036
2019,1,1,19,1,2.29271915160011
2019,1,1,20,1,2.2794075336294997
2019,1,1,21,1,2.263139532227089
2019,1,1,22,1,2.2558110223773475
2019,1,1,23,1,2.263586401888949
2019,1,2,0,2,2.258184217175149
2019,1,2,1,2,2.234415334075946
2019,1,2,2,2,2.230272710912655
2019,1,2,3,2,2.2192645664394197
2019,1,2,4,2,2.2140703295577038
2019,1,2,5,2,2.2266270308486025
2019,1,2,6,2,2.238473595419501
2019,1,2,7,2,2.24264812251575
2019,1,2,8,2,2.2325411091593717
2019,1,2,9,2,2.236754264335884
2019,1,2,10,2,2.2842089563172303
2019,1,2,11,2,2.3001039344556666
2019,1,2,12,2,2.3058971450264028
2019,1,2,13,2,2.3507368113519047
2019,1,2,14,2,2.3858555543677085
2019,1,2,15,2,2.4029140245903697
2019,1,2,16,2,2.403363588680051
2019,1,2,17,2,2.4115260597070796
2019,1,2,18,2,2.436606342286725
2019,1,2,19,2,2.4452904354642717
2019,1,2,20,2,2.441772895710919
2019,1,2,21,2,2.447457423078051
2019,1,2,22,2,2.4456620519031
2019,1,2,23,2,2.4436088740591337
2019,1,3,0,3,2.4479845056176917
2019,1,3,1,3,2.471892879006734
2019,1,3,2,3,2.471734170054739
2019,1,3,3,3,2.4479992176704832
2019,1,3,4,3,2.4262321275306986
2019,1,3,5,3,2.4201883828616135
2019,1,3,6,3,2.4036745924151575
2019,1,3,7,3,2.384348892325985
2019,1,3,8,3,2.37163197987997
2019,1,3,9,3,2.3499561903076716
2019,1,3,10,3,2.375738407101384
2019,1,3,11,3,2.3853558691516614
2019,1,3,12,3,2.3775870230314133
2019,1,3,13,3,2.393983260122501
2019,1,3,14,3,2.4667851261047185
2019,1,3,15,3,2.4978770348200445
2019,1,3,16,3,2.505750725180365
2019,1,3,17,3,2.5030072730798927
2019,1,3,18,3,2.4688075922404256
2019,1,3,19,3,2.4560193132238997
2019,1,3,20,3,2.4494481521922578
2019,1,3,21,3,2.419946599692558
2019,1,3,22,3,2.4091395119926444
2019,1,3,23,3,2.4363363510812803
2019,1,4,0,4,2.4506602155107395
2019,1,4,1,4,2.451847099043568
2019,1,4,2,4,2.4451229517384885
2019,1,4,3,4,2.448641254515648
2019,1,4,4,4,2.4350121232630713
2019,1,4,5,4,2.4197482135025643
2019,1,4,6,4,2.410327540061184
2019,1,4,7,4,2.390360351550208
2019,1,4,8,4,2.361442893775279
2019,1,4,9,4,2.3219576993311035
2019,1,4,10,4,2.3086767930687513
2019,1,4,11,4,2.2989139034496318
2019,1,4,12,4,2.297070485619292
2019,1,4,13,4,2.3131416268793243
2019,1,4,14,4,2.3036442695452735
2019,1,4,15,4,2.3046949533284327
2019,1,4,16,4,2.330717927977959
2019,1,4,17,4,2.3210972469209934
2019,1,4,18,4,2.330063348928955
2019,1,4,19,4,2.3207119675871084
2019,1,4,20,4,2.3235063992157308
2019,1,4,21,4,2.3197436903751774
2019,1,4,22,4,2.3075742236666703
2019,1,4,23,4,2.2973024448568236
2019,1,5,0,5,2.297023297365687
2019,1,5,1,5,2.31158188699398
2019,1,5,2,5,2.3304605981988225
2019,1,5,3,5,2.372448701488103
2019,1,5,4,5,2.398439509915237
2019,1,5,5,5,2.4190592268487343
2019,1,5,6,5,2.436827166145563
2019,1,5,7,5,2.449820722410846
2019,1,5,8,5,2.4591128263406343
2019,1,5,9,5,2.4645441490260898
2019,1,5,10,5,2.466482086430604
2019,1,5,11,5,2.520524582900397
2019,1,5,12,5,2.5535646583081597
2019,1,5,13,5,2.4846361396186074
2019,1,5,14,5,2.451595682698941
2019,1,5,15,5,2.4045697624085167
2019,1,5,16,5,2.37379586770953
2019,1,5,17,5,2.34976176230368
2019,1,5,18,5,2.344102033210298
2019,1,5,19,5,2.344571292852015
2019,1,5,20,5,2.3476806148682643
2019,1,5,21,5,2.3367030867253114
2019,1,5,22,5,2.307738655297223
2019,1,5,23,5,2.274050438853834
2019,1,6,0,6,2.2397903122221035
2019,1,6,1,6,2.2170064213251184
2019,1,6,2,6,2.205359435168913
2019,1,6,3,6,2.193899628290526
2019,1,6,4,6,2.145214918086724
2019,1,6,5,6,2.0776098641915732
2019,1,6,6,6,2.033687543238841
2019,1,6,7,6,2.007190015469933
2019,1,6,8,6,1.991346589127502
2019,1,6,9,6,1.974881298381821
2019,1,6,10,6,1.9238994811605385
2019,1,6,11,6,1.9356336427867704
2019,1,6,12,6,1.9381378869235388
2019,1,6,13,6,1.9445095172294757
2019,1,6,14,6,1.9504897163220782
2019,1,6,15,6,1.9505221448339043
2019,1,6,16,6,1.9236053354826823
2019,1,6,17,6,1.9084471045195377
2019,1,6,18,6,1.8851802195522986
2019,1,6,19,6,1.865584623635657
2019,1,6,20,6,1.8610415798847981
2019,1,6,21,6,1.8486928025814893
2019,1,6,22,6,1.8232726644290094
2019,1,6,23,6,1.8002163740326869
2019,1,7,0,7,1.7959876960905874
2019,1,7,1,7,1.8044419998795556
2019,1,7,2,7,1.8035629964531212
2019,1,7,3,7,1.79949035687969
2019,1,7,4,7,1.8182500602150307
2019,1,7,5,7,1.8619766655610959
2019,1,7,6,7,1.8980127539496694
2019,1,7,7,7,1.9197245963968799
2019,1,7,8,7,1.9413738708918613
2019,1,7,9,7,1.9784697993492864
2019,1,7,10,7,2.0274154875398045
2019,1,7,11,7,2.06852721029699
2019,1,7,12,7,2.110609117825626
2019,1,7,13,7,2.2118654291984816
2019,1,7,14,7,2.302135342276621
2019,1,7,15,7,2.399218676445337
2019,1,7,16,7,2.4653014978441887
2019,1,7,17,7,2.484899382832253
