year,month,day,doy,index,tto,tts,psi,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
2019,1,12,12,11,19.34,66.66,59.2,0.0441,0.1865,0.018600000000000002,0.034,0.2388,0.1646,0.096
2019,1,13,13,12,46.18,64.53,244.12,0.032600000000000004,0.162,0.0148,0.0262,0.2136,0.133,0.0755
2019,1,14,14,13,37.25,67.21000000000001,58.91000000000001,0.052000000000000005,0.21530000000000002,0.0233,0.0422,0.28150000000000003,0.1902,0.108
2019,1,28,28,27,19.51,63.660000000000004,58.60000000000001,0.0665,0.21380000000000002,0.0304,0.0522,0.2354,0.16440000000000002,0.0944
2019,2,5,36,35,51.63,58.980000000000004,243.12,0.0441,0.1791,0.02,0.0346,0.2164,0.1277,0.06330000000000001
2019,2,6,37,36,28.990000000000002,61.730000000000004,56.33,0.0618,0.2149,0.0284,0.0505,0.25830000000000003,0.1862,0.0978
2019,2,9,40,39,23.1,58.800000000000004,239.49,0.0472,0.1686,0.02,0.036000000000000004,0.2102,0.1447,0.0819
2019,3,18,77,76,46.28,44.160000000000004,241.01000000000002,0.0835,0.2026,0.042300000000000004,0.07200000000000001,0.1728,0.1198,0.0608
2019,3,20,79,78,32.17,43.94,238.16000000000003,0.08120000000000001,0.20070000000000002,0.0413,0.0682,0.19310000000000002,0.11900000000000001,0.0679
2019,3,26,85,84,28.71,44.25,50.89,0.0785,0.2351,0.0369,0.06420000000000001,0.2782,0.1953,0.11950000000000001
2019,3,27,86,85,39.84,40.82,239.71,0.0601,0.17900000000000002,0.027600000000000003,0.0478,0.2024,0.1661,0.09050000000000001
2019,3,28,87,86,44.19,44.68,48.94,0.0781,0.24020000000000002,0.0347,0.06420000000000001,0.2771,0.22760000000000002,0.1268
2019,4,3,93,92,46.28,37.79,240.9,0.048,0.1726,0.0221,0.039900000000000005,0.21230000000000002,0.1721,0.0886
2019,4,4,94,93,37.06,41.37,48.92999999999999,0.06760000000000001,0.2326,0.0286,0.0539,0.3204,0.25370000000000004,0.15
2019,4,7,97,96,13.34,37.59,235.65,0.0587,0.1841,0.025500000000000002,0.0444,0.25370000000000004,0.1913,0.11
2019,4,16,106,105,2.49,34.74,233.23000000000002,0.0704,0.21680000000000002,0.0318,0.0534,0.2937,0.2366,0.1375
2019,4,17,107,106,56.480000000000004,32.160000000000004,244.53000000000003,0.0431,0.16340000000000002,0.0195,0.0379,0.2029,0.1636,0.08460000000000001
2019,4,25,115,114,8.45,32.22,47.359999999999985,0.0703,0.2373,0.0318,0.056100000000000004,0.3139,0.25270000000000004,0.14450000000000002
2019,4,29,119,118,44.19,33.58,44.22,0.061700000000000005,0.2439,0.0286,0.0531,0.324,0.2257,0.1332
2019,5,11,131,130,8.370000000000001,27.75,43.139999999999986,0.061500000000000006,0.24330000000000002,0.0292,0.056600000000000004,0.3029,0.2215,0.11620000000000001
2019,5,22,142,141,37.06,27.67,39.42,0.0443,0.32120000000000004,0.0223,0.068,0.3289,0.2093,0.0874
2019,5,27,147,146,8.43,24.78,43.739999999999995,0.035300000000000005,0.367,0.019100000000000002,0.067,0.36710000000000004,0.203,0.07690000000000001
2019,6,3,154,153,2.59,23.35,230.31,0.0291,0.383,0.0155,0.0579,0.3572,0.1773,0.061000000000000006
2019,6,7,158,157,37.06,26.01,36.14999999999999,0.0275,0.43820000000000003,0.015300000000000001,0.0629,0.3864,0.2006,0.0649
2019,6,8,159,158,32.27,21.27,230.51999999999998,0.0179,0.3458,0.0094,0.0398,0.3221,0.139,0.041100000000000005
2019,6,12,163,162,8.620000000000001,23.5,39.57000000000001,0.025,0.43660000000000004,0.0134,0.055400000000000005,0.39840000000000003,0.1905,0.060700000000000004
2019,6,15,166,165,39.84,20.490000000000002,231.51999999999998,0.0205,0.3396,0.0114,0.0405,0.3042,0.1368,0.039900000000000005
2019,6,23,174,173,37.25,25.97,33.499999999999986,0.023200000000000002,0.445,0.0123,0.050300000000000004,0.4132,0.20270000000000002,0.0639
2019,6,28,179,178,8.72,23.82,35.33,0.0269,0.4249,0.014100000000000001,0.0507,0.392,0.19820000000000002,0.06470000000000001
2019,7,5,186,185,2.37,23.69,233.62,0.021,0.40990000000000004,0.011000000000000001,0.044000000000000004,0.38680000000000003,0.18460000000000001,0.0609
2019,7,8,189,188,46.18,21.22,232.39000000000001,0.0196,0.3488,0.0115,0.0358,0.29510000000000003,0.1385,0.0379
2019,7,10,191,190,32.08,22.41,227.55,0.0201,0.3523,0.0102,0.0385,0.3131,0.1447,0.040400000000000005
2019,7,16,197,196,28.89,27.35,36.290000000000006,0.0296,0.5015000000000001,0.0162,0.056400000000000006,0.48310000000000003,0.23220000000000002,0.0782
2019,7,21,202,201,2.37,25.94,235.37,0.0207,0.39630000000000004,0.0103,0.041800000000000004,0.3786,0.1806,0.058600000000000006
2019,7,25,206,205,37.25,29.650000000000002,36.05999999999999,0.0227,0.4511,0.0114,0.0475,0.4242,0.2129,0.0685
2019,7,27,208,207,50.38,31.69,34.37000000000002,0.0182,0.42510000000000003,0.0105,0.042300000000000004,0.3871,0.1965,0.0587
2019,7,28,209,208,13.16,26.650000000000002,225.78,0.0183,0.36250000000000004,0.0091,0.0358,0.33740000000000003,0.1638,0.050300000000000004
2019,7,30,211,210,8.73,28.35,38.70000000000002,0.019700000000000002,0.4128,0.0102,0.0426,0.3854,0.19240000000000002,0.0604
2019,8,1,213,212,28.900000000000002,30.22,39.56999999999999,0.0235,0.4369,0.0128,0.048,0.4156,0.2096,0.06770000000000001
2019,8,2,214,213,39.75,26.25,233.39,0.0172,0.3305,0.0086,0.033100000000000004,0.3064,0.13820000000000002,0.0398
