year,month,day,hour,doy,PAR_up,PAR_down,fPAR
2019,1,1,0,1,,,
2019,1,1,1,1,,,
2019,1,1,2,1,,,
2019,1,1,3,1,,,
2019,1,1,4,1,,,
2019,1,1,5,1,,,
2019,1,1,6,1,,,
2019,1,1,7,1,,,
2019,1,1,8,1,,,
2019,1,1,9,1,,,
2019,1,1,10,1,,,
2019,1,1,11,1,,,
2019,1,1,12,1,,,
2019,1,1,13,1,,,
2019,1,1,14,1,,,
2019,1,1,15,1,,,
2019,1,1,16,1,,,
2019,1,1,17,1,,,
2019,1,1,18,1,,,
2019,1,1,19,1,144.18,34.7,0.7593286170065197
2019,1,1,20,1,123.705,26.369999999999997,0.7868315751182249
2019,1,1,21,1,23.89,7.1,0.7028045207199665
2019,1,1,22,1,,,
2019,1,1,23,1,,,
2019,1,2,0,2,,,
2019,1,2,1,2,,,
2019,1,2,2,2,,,
2019,1,2,3,2,,,
2019,1,2,4,2,,,
2019,1,2,5,2,,,
2019,1,2,6,2,,,
2019,1,2,7,2,,,
2019,1,2,8,2,,,
2019,1,2,9,2,,,
2019,1,2,10,2,,,
2019,1,2,11,2,,,
2019,1,2,12,2,43.98,8.125,0.815256934970441
2019,1,2,13,2,219.87,34.5,0.8430890981034248
2019,1,2,14,2,498.135,111.16499999999999,0.7768376042639045
2019,1,2,15,2,668.14,178.7,0.7325410842039094
2019,1,2,16,2,739.74,280.74,0.6204882796658285
2019,1,2,17,2,773.845,239.98999999999998,0.6898732950397043
2019,1,2,18,2,568.41,132.67000000000002,0.7665945356344891
2019,1,2,19,2,367.065,85.175,0.7679566289349298
2019,1,2,20,2,138.43,42.1,0.695875171566857
2019,1,2,21,2,22.3,6.61,0.7035874439461883
2019,1,2,22,2,,,
2019,1,2,23,2,,,
2019,1,3,0,3,,,
2019,1,3,1,3,,,
2019,1,3,2,3,,,
2019,1,3,3,3,,,
2019,1,3,4,3,,,
2019,1,3,5,3,,,
2019,1,3,6,3,,,
2019,1,3,7,3,,,
2019,1,3,8,3,,,
2019,1,3,9,3,,,
2019,1,3,10,3,,,
2019,1,3,11,3,,,
2019,1,3,12,3,12.01,2.11,0.8243130724396337
2019,1,3,13,3,61.084999999999994,11.190000000000001,0.8168126381271998
2019,1,3,14,3,337.855,48.595,0.8561661067617764
2019,1,3,15,3,679.71,137.755,0.7973326859984405
2019,1,3,16,3,511.31999999999994,190.055,0.6283051709301415
2019,1,3,17,3,375.08000000000004,137.685,0.6329183107603712
2019,1,3,18,3,324.095,105.78,0.6736142180533485
2019,1,3,19,3,151.98,56.785,0.6263653112251611
2019,1,3,20,3,51.69,20.525,0.6029212613658348
2019,1,3,21,3,13.24,4.74,0.6419939577039275
2019,1,3,22,3,,,
2019,1,3,23,3,,,
2019,1,4,0,4,,,
2019,1,4,1,4,,,
2019,1,4,2,4,,,
2019,1,4,3,4,,,
2019,1,4,4,4,,,
2019,1,4,5,4,,,
2019,1,4,6,4,,,
2019,1,4,7,4,,,
2019,1,4,8,4,,,
2019,1,4,9,4,,,
2019,1,4,10,4,,,
2019,1,4,11,4,,,
2019,1,4,12,4,35.02,9.760000000000002,0.721302113078241
2019,1,4,13,4,215.635,37.035,0.8282514434113201
2019,1,4,14,4,502.0,122.69,0.755597609561753
2019,1,4,15,4,630.9200000000001,198.625,0.6851819565079567
2019,1,4,16,4,812.02,297.205,0.6339930050983966
2019,1,4,17,4,742.605,235.72,0.6825768746507228
2019,1,4,18,4,542.48,141.53,0.7391055891461437
2019,1,4,19,4,318.065,79.935,0.7486834452077405
2019,1,4,20,4,140.22,40.595,0.7104906575381543
2019,1,4,21,4,23.56,7.51,0.681239388794567
2019,1,4,22,4,,,
2019,1,4,23,4,,,
2019,1,5,0,5,,,
2019,1,5,1,5,,,
2019,1,5,2,5,,,
2019,1,5,3,5,,,
2019,1,5,4,5,,,
2019,1,5,5,5,,,
2019,1,5,6,5,,,
2019,1,5,7,5,,,
2019,1,5,8,5,,,
2019,1,5,9,5,,,
2019,1,5,10,5,,,
2019,1,5,11,5,,,
2019,1,5,12,5,20.89,7.71,0.6309238870272857
2019,1,5,13,5,121.99499999999999,45.754999999999995,0.6249436452313619
2019,1,5,14,5,166.8,64.015,0.6162170263788969
2019,1,5,15,5,236.72500000000002,90.64500000000001,0.6170873376280495
2019,1,5,16,5,251.575,96.185,0.6176686872701977
2019,1,5,17,5,144.44,55.585,0.615168928274716
2019,1,5,18,5,232.375,88.88499999999999,0.6174932759548144
2019,1,5,19,5,115.145,44.195,0.6161795996352425
2019,1,5,20,5,37.32,14.285,0.6172293676312969
2019,1,5,21,5,9.35,3.55,0.6203208556149733
2019,1,5,22,5,,,
2019,1,5,23,5,,,
2019,1,6,0,6,,,
2019,1,6,1,6,,,
2019,1,6,2,6,,,
2019,1,6,3,6,,,
2019,1,6,4,6,,,
2019,1,6,5,6,,,
2019,1,6,6,6,,,
2019,1,6,7,6,,,
2019,1,6,8,6,,,
2019,1,6,9,6,,,
2019,1,6,10,6,,,
2019,1,6,11,6,,,
2019,1,6,12,6,10.73,3.785,0.6472506989748369
2019,1,6,13,6,49.48,18.38,0.6285367825383994
2019,1,6,14,6,88.97,33.54,0.6230189951669102
2019,1,6,15,6,174.92000000000002,65.845,0.6235707752115253
2019,1,6,16,6,306.025,109.00999999999999,0.6437872722816763
2019,1,6,17,6,290.66499999999996,105.975,0.6354050195241945
2019,1,6,18,6,215.6,69.58,0.6772727272727272
2019,1,6,19,6,219.04,55.385000000000005,0.7471466398831262
2019,1,6,20,6,158.75,18.0,0.8866141732283465
2019,1,6,21,6,21.63,4.35,0.7988904299583912
2019,1,6,22,6,,,
2019,1,6,23,6,,,
2019,1,7,0,7,,,
2019,1,7,1,7,,,
2019,1,7,2,7,,,
2019,1,7,3,7,,,
