year,month,day,doy,hour,nee
2019,1,1,1,0,
2019,1,1,1,1,
2019,1,1,1,2,
2019,1,1,1,3,
2019,1,1,1,4,
2019,1,1,1,5,
2019,1,1,1,6,
2019,1,1,1,7,
2019,1,1,1,8,
2019,1,1,1,9,
2019,1,1,1,10,
2019,1,1,1,11,
2019,1,1,1,12,
2019,1,1,1,13,
2019,1,1,1,14,
2019,1,1,1,15,
2019,1,1,1,16,
2019,1,1,1,17,
2019,1,1,1,18,
2019,1,1,1,19,
2019,1,1,1,20,
2019,1,1,1,21,
2019,1,1,1,22,
2019,1,1,1,23,
2019,1,2,2,0,
2019,1,2,2,1,
2019,1,2,2,2,
2019,1,2,2,3,
2019,1,2,2,4,
2019,1,2,2,5,
2019,1,2,2,6,
2019,1,2,2,7,
2019,1,2,2,8,
2019,1,2,2,9,
2019,1,2,2,10,
2019,1,2,2,11,
2019,1,2,2,12,
2019,1,2,2,13,
2019,1,2,2,14,
2019,1,2,2,15,
2019,1,2,2,16,
2019,1,2,2,17,
2019,1,2,2,18,
2019,1,2,2,19,
2019,1,2,2,20,
2019,1,2,2,21,
2019,1,2,2,22,
2019,1,2,2,23,
2019,1,3,3,0,
2019,1,3,3,1,
2019,1,3,3,2,
2019,1,3,3,3,
2019,1,3,3,4,
2019,1,3,3,5,
2019,1,3,3,6,
2019,1,3,3,7,
2019,1,3,3,8,
2019,1,3,3,9,
2019,1,3,3,10,
2019,1,3,3,11,
2019,1,3,3,12,
2019,1,3,3,13,
2019,1,3,3,14,
2019,1,3,3,15,
2019,1,3,3,16,
2019,1,3,3,17,
2019,1,3,3,18,
2019,1,3,3,19,
2019,1,3,3,20,
2019,1,3,3,21,
2019,1,3,3,22,
2019,1,3,3,23,
2019,1,4,4,0,
2019,1,4,4,1,
2019,1,4,4,2,
2019,1,4,4,3,
2019,1,4,4,4,
2019,1,4,4,5,
2019,1,4,4,6,
2019,1,4,4,7,
2019,1,4,4,8,
2019,1,4,4,9,
2019,1,4,4,10,
2019,1,4,4,11,
2019,1,4,4,12,
2019,1,4,4,13,
2019,1,4,4,14,
2019,1,4,4,15,
2019,1,4,4,16,
2019,1,4,4,17,
2019,1,4,4,18,
2019,1,4,4,19,
2019,1,4,4,20,
2019,1,4,4,21,
2019,1,4,4,22,
2019,1,4,4,23,
2019,1,5,5,0,
