year,month,day,hour,doy,index,tto,tts,psi,LST_Day_1km,Emis_31,Emis_32
2019,1,2,10,2,34.0,60.0,69.49540535331161,65.07453655778224,-3.8099999999999454,0.98,0.984
2019,1,3,10,3,58.0,9.0,69.41412664405475,65.03329750906238,1.57000000000005,0.98,0.984
2019,1,17,11,17,395.0,13.0,64.14619776337138,78.9926585686095,-7.449999999999989,0.982,0.984
2019,1,22,11,22,515.0,39.0,63.17789927947304,78.70877220344286,-10.229999999999961,0.982,0.984
2019,1,31,11,31,731.0,31.0,61.08364403804226,78.06757160896083,-16.20999999999998,0.982,0.984
2019,3,7,11,66,1571.0,60.0,49.70911542966546,73.81996682727757,-9.25,0.98,0.984
2019,3,9,11,68,1619.0,51.0,48.96111641956182,73.48657325700344,2.5300000000000296,0.98,0.984
2019,3,16,11,75,1787.0,56.0,46.31165739314383,72.2394122940795,1.5100000000000477,0.98,0.984
2019,4,1,11,91,2171.0,56.0,40.25318691352214,68.92438726017485,2.9500000000000455,0.98,0.984
2019,4,3,11,93,2219.0,46.0,39.51324824305898,68.46612136960053,12.730000000000018,0.98,0.984
2019,4,7,11,97,2315.0,13.0,38.05506067093073,67.52217558428737,13.410000000000025,0.982,0.984
2019,4,15,12,105,2508.0,63.0,33.04928781075597,91.76175153151772,12.970000000000027,0.98,0.982
2019,4,24,10,114,2722.0,60.0,39.17355702720056,40.847535063376455,13.53000000000003,0.98,0.984
2019,5,6,10,126,3010.0,37.0,36.3247892931138,36.7774060056892,16.950000000000045,0.982,0.984
2019,5,8,10,128,3058.0,51.0,35.908629509988145,36.126671370355936,17.110000000000014,0.98,0.984
2019,5,18,11,138,3299.0,2.0,26.214840834449337,56.751458978012266,16.230000000000018,0.982,0.984
2019,6,2,12,153,3660.0,63.0,20.348057646316327,89.79763030257183,16.850000000000023,0.98,0.982
2019,6,4,10,155,3706.0,64.0,32.08139475505694,29.243598759941577,14.710000000000036,0.98,0.982
2019,6,5,10,156,3730.0,20.0,32.00499006564724,29.086100013549512,16.630000000000052,0.982,0.984
2019,6,14,10,165,3946.0,29.0,31.526703037676064,28.07811510297131,18.850000000000023,0.982,0.984
