year,month,day,hour,doy,PAR_up,PAR_down,fPAR
2019,1,1,0,1,,,
2019,1,1,1,1,,,
2019,1,1,2,1,,,
2019,1,1,3,1,,,
2019,1,1,4,1,,,
2019,1,1,5,1,,,
2019,1,1,6,1,,,
2019,1,1,7,1,,,
2019,1,1,8,1,,,
2019,1,1,9,1,,,
2019,1,1,10,1,,,
2019,1,1,11,1,,,
2019,1,1,12,1,,,
2019,1,1,13,1,12.46,2.23,0.8210272873194221
2019,1,1,14,1,87.54,13.98,0.8403015764222069
2019,1,1,15,1,279.795,38.335,0.8629889740703014
2019,1,1,16,1,532.645,48.730000000000004,0.9085131748162472
2019,1,1,17,1,753.9,128.995,0.8288964053588009
2019,1,1,18,1,741.69,109.16999999999999,0.8528091251061765
2019,1,1,19,1,665.485,69.945,0.8948962035207404
2019,1,1,20,1,331.63,44.655,0.8653469227753823
2019,1,1,21,1,118.195,19.26,0.8370489445408011
2019,1,1,22,1,19.27,3.51,0.8178515827711469
2019,1,1,23,1,,,
2019,1,2,0,2,,,
2019,1,2,1,2,,,
2019,1,2,2,2,,,
2019,1,2,3,2,,,
2019,1,2,4,2,,,
2019,1,2,5,2,,,
2019,1,2,6,2,,,
2019,1,2,7,2,,,
2019,1,2,8,2,,,
2019,1,2,9,2,,,
2019,1,2,10,2,,,
2019,1,2,11,2,,,
2019,1,2,12,2,,,
2019,1,2,13,2,8.04,1.78,0.7786069651741293
2019,1,2,14,2,76.955,14.7,0.8089792736014554
2019,1,2,15,2,248.27499999999998,42.45,0.8290202396536099
2019,1,2,16,2,454.38,56.84,0.874906465953607
2019,1,2,17,2,604.48,107.14,0.8227567496029645
2019,1,2,18,2,735.37,118.19999999999999,0.8392645878945294
2019,1,2,19,2,363.58,75.67,0.7918752406623026
2019,1,2,20,2,256.865,56.73,0.7791446868977868
2019,1,2,21,2,88.175,20.419999999999998,0.7684150836404876
2019,1,2,22,2,10.79,2.74,0.7460611677479146
2019,1,2,23,2,,,
2019,1,3,0,3,,,
2019,1,3,1,3,,,
2019,1,3,2,3,,,
2019,1,3,3,3,,,
2019,1,3,4,3,,,
2019,1,3,5,3,,,
2019,1,3,6,3,,,
2019,1,3,7,3,,,
2019,1,3,8,3,,,
2019,1,3,9,3,,,
2019,1,3,10,3,,,
2019,1,3,11,3,,,
2019,1,3,12,3,,,
2019,1,3,13,3,9.45,2.78,0.7058201058201059
2019,1,3,14,3,81.345,22.025000000000002,0.7292396582457433
2019,1,3,15,3,336.27,76.295,0.7731138668331995
2019,1,3,16,3,228.05,87.66499999999999,0.6155886866915151
2019,1,3,17,3,274.705,120.12,0.5627309295426002
2019,1,3,18,3,254.685,111.21000000000001,0.5633429530596619
2019,1,3,19,3,217.335,95.975,0.5584006257620724
2019,1,3,20,3,309.375,73.35,0.762909090909091
2019,1,3,21,3,152.67000000000002,30.38,0.8010087116001835
2019,1,3,22,3,27.74,8.63,0.6888968997837058
2019,1,3,23,3,,,
2019,1,4,0,4,,,
2019,1,4,1,4,,,
2019,1,4,2,4,,,
2019,1,4,3,4,,,
2019,1,4,4,4,,,
2019,1,4,5,4,,,
2019,1,4,6,4,,,
2019,1,4,7,4,,,
2019,1,4,8,4,,,
2019,1,4,9,4,,,
2019,1,4,10,4,,,
2019,1,4,11,4,,,
2019,1,4,12,4,,,
2019,1,4,13,4,24.68,7.82,0.6831442463533225
2019,1,4,14,4,158.65,43.339999999999996,0.7268200441222817
2019,1,4,15,4,411.03499999999997,121.735,0.7038330069215516
2019,1,4,16,4,413.275,142.11,0.656136954812171
2019,1,4,17,4,419.91499999999996,143.615,0.6579903075622446
2019,1,4,18,4,758.525,171.29500000000002,0.7741735605286576
2019,1,4,19,4,696.415,102.66,0.8525878965846514
2019,1,4,20,4,493.755,68.86500000000001,0.8605279946532187
2019,1,4,21,4,196.28500000000003,35.485,0.8192169549379728
2019,1,4,22,4,29.91,8.68,0.7097960548311602
2019,1,4,23,4,,,
2019,1,5,0,5,,,
2019,1,5,1,5,,,
2019,1,5,2,5,,,
2019,1,5,3,5,,,
2019,1,5,4,5,,,
2019,1,5,5,5,,,
2019,1,5,6,5,,,
2019,1,5,7,5,,,
2019,1,5,8,5,,,
2019,1,5,9,5,,,
2019,1,5,10,5,,,
2019,1,5,11,5,,,
2019,1,5,12,5,,,
2019,1,5,13,5,23.13,7.06,0.6947686986597493
2019,1,5,14,5,178.39,31.8,0.8217388867088962
2019,1,5,15,5,456.495,72.485,0.8412140330124097
2019,1,5,16,5,441.765,122.295,0.7231672948286985
2019,1,5,17,5,344.615,147.32,0.5725084514603254
2019,1,5,18,5,164.785,73.0,0.5569985132141881
2019,1,5,19,5,91.875,40.795,0.5559727891156463
2019,1,5,20,5,39.3,17.55,0.5534351145038168
2019,1,5,21,5,16.240000000000002,7.369999999999999,0.5461822660098523
2019,1,5,22,5,4.29,2.1,0.5104895104895105
2019,1,5,23,5,,,
2019,1,6,0,6,,,
2019,1,6,1,6,,,
2019,1,6,2,6,,,
2019,1,6,3,6,,,
2019,1,6,4,6,,,
2019,1,6,5,6,,,
2019,1,6,6,6,,,
2019,1,6,7,6,,,
2019,1,6,8,6,,,
2019,1,6,9,6,,,
2019,1,6,10,6,,,
2019,1,6,11,6,,,
2019,1,6,12,6,,,
2019,1,6,13,6,21.34,8.86,0.5848172446110591
2019,1,6,14,6,115.195,45.46,0.6053648161812578
2019,1,6,15,6,273.59000000000003,100.495,0.6326802880222231
2019,1,6,16,6,324.675,135.76,0.5818587818587819
2019,1,6,17,6,387.64,165.83999999999997,0.5721803735424621
2019,1,6,18,6,376.46,162.02,0.5696222706263613
2019,1,6,19,6,297.65,129.655,0.564404501931799
2019,1,6,20,6,154.70499999999998,68.795,0.5553149542678
2019,1,6,21,6,64.745,28.92,0.5533245810487296
