year,month,day,doy,hour,nee
2019,1,1,1,0,
2019,1,1,1,1,
2019,1,1,1,2,
2019,1,1,1,3,
2019,1,1,1,4,
2019,1,1,1,5,0.241571474895525
2019,1,1,1,6,
2019,1,1,1,7,0.133867059564289
2019,1,1,1,8,0.513678889329195
2019,1,1,1,9,0.4018019323218194
2019,1,1,1,10,
2019,1,1,1,11,
2019,1,1,1,12,
2019,1,1,1,13,0.3549975966295025
2019,1,1,1,14,0.403001404705485
2019,1,1,1,15,
2019,1,1,1,16,
2019,1,1,1,17,
2019,1,1,1,18,
2019,1,1,1,19,
2019,1,1,1,20,
2019,1,1,1,21,
2019,1,1,1,22,
2019,1,1,1,23,0.613743302840195
2019,1,2,2,0,
2019,1,2,2,1,0.297348370131752
2019,1,2,2,2,0.36305766189641747
2019,1,2,2,3,0.95149139680404
2019,1,2,2,4,0.583278487660615
2019,1,2,2,5,
2019,1,2,2,6,
2019,1,2,2,7,0.3856759101039915
2019,1,2,2,8,0.591091975652028
2019,1,2,2,9,
2019,1,2,2,10,
2019,1,2,2,11,
2019,1,2,2,12,0.779256298488883
2019,1,2,2,13,0.7545356001633392
2019,1,2,2,14,0.736279472764232
2019,1,2,2,15,
2019,1,2,2,16,0.4996706657092615
2019,1,2,2,17,0.495138218026615
2019,1,2,2,18,
2019,1,2,2,19,0.3194783361813775
2019,1,2,2,20,0.475707816552931
2019,1,2,2,21,0.253990570658431
2019,1,2,2,22,
2019,1,2,2,23,0.300060361559487
2019,1,3,3,0,
2019,1,3,3,1,0.311274349847428
2019,1,3,3,2,0.291111900324465
2019,1,3,3,3,0.4133737965136945
2019,1,3,3,4,0.23790115346520252
2019,1,3,3,5,0.581163363744437
2019,1,3,3,6,
2019,1,3,3,7,0.376783038947086
2019,1,3,3,8,0.4809960708302835
2019,1,3,3,9,0.571513784795452
2019,1,3,3,10,0.532340275553711
2019,1,3,3,11,
2019,1,3,3,12,0.8262101981492735
2019,1,3,3,13,0.7928843455557825
2019,1,3,3,14,0.8837980857220216
2019,1,3,3,15,0.6081804164188
2019,1,3,3,16,
2019,1,3,3,17,
2019,1,3,3,18,0.50806393981332
2019,1,3,3,19,0.7592757485597315
2019,1,3,3,20,0.6110025068769236
2019,1,3,3,21,
2019,1,3,3,22,0.649837785700465
2019,1,3,3,23,
2019,1,4,4,0,
