         117628397 function calls (117188938 primitive calls) in 246.063 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   980942   32.513    0.000   34.456    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:187(calc_netrad)
       65   22.608    0.348   23.313    0.359 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:513(volscatt_vec)
    53655   21.543    0.000   27.860    0.001 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:232(hotspot_calculations_vec)
    26280   16.242    0.001  155.216    0.006 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal.py:102(Ebal)
  3923768   16.170    0.000   16.170    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\resistance.py:11(calc_Psi_M)
    26280   12.804    0.000   55.430    0.002 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:12(rtm_o)
  3923768   11.120    0.000   25.552    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal.py:66(heatfluxes)
   352164    7.640    0.000   13.209    0.000 C:\Users\liuha\anaconda3\lib\site-packages\scipy\integrate\_quadrature.py:391(_basic_simpson)
  3923768    7.569    0.000    7.569    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal_pars.py:27(calc_delta_vapor_pressure)
  3950048    5.303    0.000    5.303    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\Ebal_pars.py:9(calc_vapor_pressure)
4633452/4633244    5.189    0.000    5.189    0.000 {built-in method numpy.array}
5479081/5050560    3.646    0.000   15.053    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1411651    3.484    0.000    6.202    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:60(Compute_A)
  1635197    3.231    0.000    3.231    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\PhotoSynth.py:127(sel_root)
   211808    3.082    0.000    6.964    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:619(volscatt_solar)
        5    2.882    0.576   26.195    5.239 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_initial.py:356(weighted_sum_over_lidf_vec)
   980942    2.721    0.000    2.721    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\resistance.py:128(calc_R_S_Choudhury)
  1159893    2.625    0.000   10.453    0.000 C:\Users\liuha\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
    26280    2.604    0.000    2.653    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\TIR.py:56(calc_ebal_canopy_pars)
    26476    2.464    0.000    2.464    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\RTM_Optical.py:183(hotspot_calculations)
   980942    2.445    0.000    2.445    0.000 C:\Users\liuha\Desktop\dalecv5.2\src\model\resistance.py:92(calc_R_x_Choudhury)
